GO	[-8.51 -0.57]	[-0.57 -0.44]	[-0.44 -0.21]	[-0.21 -0.10]	[-0.10 -0.02]	[-0.02 0.00]	[0.00 0.07]	[0.07 0.17]	[0.17 0.33]	[0.33 0.85]	[0.85 8.56]
MIR6715B_3P MIR6715B_3P	-0.331	-2.219	0.273	2.455	3.550	-3.442	-0.331	1.068	-0.831	-1.767	0.522
MIR371A_5P MIR371A_5P	-0.762	-2.581	0.737	2.279	1.748	-1.193	2.279	-1.193	0.591	0.353	-3.637
MIR7161_5P MIR7161_5P	-0.371	-2.520	0.830	6.369	0.426	-1.772	0.678	-0.371	-0.786	-0.278	-1.199
MIR4255 MIR4255	-2.028	-1.101	2.452	3.420	0.402	-2.443	-0.878	1.193	0.661	-0.690	-0.872
MIR132_3P MIR132_3P	-1.772	-1.468	0.325	2.377	3.970	-2.978	-0.278	0.426	0.325	-0.371	-0.480
MIR5100 MIR5100	-2.198	-1.227	-0.301	3.532	0.817	-0.447	1.617	-0.301	0.301	-2.921	0.303
MIR1244 MIR1244	0.558	-0.696	-0.696	2.529	-0.336	-1.304	0.749	1.820	-4.070	0.398	-0.488
MIR4753_5P MIR4753_5P	-1.509	-0.994	0.564	3.122	2.802	-3.136	-0.270	-0.480	-0.363	0.564	-0.786
MIR199B_5P MIR199B_5P	-0.278	-3.166	1.026	1.915	1.435	-3.166	1.026	0.551	0.326	-0.806	-0.801
ACTGCAG_MIR173P ACTGCAG_MIR173P	-0.668	0.543	0.543	3.134	1.717	-2.673	0.270	0.392	0.270	-2.072	-1.589
MIR199A_5P MIR199A_5P	-0.285	-3.196	1.007	1.885	1.410	-3.196	1.007	0.539	0.317	-0.647	-0.816
MIR212_3P MIR212_3P	-1.408	-1.408	0.262	2.199	3.753	-2.892	0.262	0.457	0.351	-0.344	-0.580
MIR5703 MIR5703	1.864	-2.955	0.646	1.171	0.392	-3.519	0.510	-0.546	0.392	-0.894	1.178
MIR148A_5P MIR148A_5P	-1.384	-1.384	3.564	1.767	0.775	-2.289	0.594	-0.418	0.311	-0.792	-0.579
MIR4434 MIR4434	1.642	-2.925	0.819	0.996	0.402	-3.487	0.522	-0.534	0.402	-0.878	1.200
MIR4436B_5P MIR4436B_5P	-1.016	-1.633	2.070	2.378	1.783	-1.016	-0.320	-0.320	-0.320	0.283	-2.509
MIR520E_5P MIR520E_5P	-1.830	-2.226	0.788	2.752	0.788	-2.226	0.788	0.276	1.163	-0.328	-0.748
MIR548AV_3P MIR548AV_3P	-1.193	-2.154	1.289	0.902	3.204	-2.581	0.463	0.463	-0.458	-0.762	0.466
MIR4418 MIR4418	-0.735	-1.232	0.310	1.882	3.576	-0.959	0.310	1.353	-0.735	-1.560	-1.226
MIR548AY_3P MIR548AY_3P	-1.006	-2.364	0.379	0.845	3.342	-0.399	1.151	0.379	-1.006	-0.399	-1.003
MIR154_3P MIR154_3P	-1.029	-1.829	0.508	0.897	3.600	-2.400	-1.029	-0.373	0.508	0.508	0.511
MIR548AT_3P MIR548AT_3P	-1.093	-2.489	0.330	1.039	3.101	-0.452	1.039	0.519	-1.093	-0.452	-0.712
AACATTC_MIR4093P AACATTC_MIR4093P	-2.119	-1.074	1.433	1.433	-0.350	-1.074	0.796	-2.609	0.986	1.433	-0.347
MIR509_5P MIR509_5P	-1.046	-1.602	0.327	1.725	3.555	-0.375	0.561	0.706	-0.648	-2.361	-0.644
MIR4649_3P MIR4649_3P	-0.753	-0.598	1.373	1.588	0.547	-3.816	-0.272	-1.394	2.066	0.333	-0.464
MIR4711_3P MIR4711_3P	0.502	0.502	-1.253	0.339	1.517	-1.740	-1.253	-2.401	0.502	1.858	0.705
MIR522_3P MIR522_3P	-0.278	-2.665	0.850	0.691	1.915	-2.231	2.181	-1.011	0.326	-0.634	-0.275
MIR509_3_5P MIR509_3_5P	-1.028	-1.580	0.336	1.754	3.250	-0.366	0.574	0.722	-0.635	-2.334	-0.630
MIR142_3P MIR142_3P	-0.733	-3.015	0.939	3.289	0.276	-0.733	-0.327	0.372	1.561	-0.570	-1.149
